Category,Subcategory 1,Subcategory 2,Subcategory 3,Value,Year
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,1281.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,665.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,219.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,854.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,581.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,5662.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,509.0,1977
Total National Health Expenditures,Investment,Research,none,3864.0,1977
Total National Health Expenditures,Investment,Structures & Equipment,none,10514.0,1977
Total National Health Expenditures,Out of pocket,none,none,46043.0,1978
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,50700.0,1978
Total National Health Expenditures,Health Insurance,Medicare,none,26668.0,1978
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,19465.0,1978
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1978
Total National Health Expenditures,Health Insurance,Department of Defense,none,3067.0,1978
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,4859.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,617.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,6859.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,375.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,4026.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,1358.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,701.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,220.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,948.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,689.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,6319.0,1978
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,559.0,1978
Total National Health Expenditures,Investment,Research,none,4438.0,1978
Total National Health Expenditures,Investment,Structures & Equipment,none,11465.0,1978
Total National Health Expenditures,Out of pocket,none,none,49929.0,1979
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,58924.0,1979
Total National Health Expenditures,Health Insurance,Medicare,none,30922.0,1979
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,22332.0,1979
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1979
Total National Health Expenditures,Health Insurance,Department of Defense,none,3457.0,1979
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,5073.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,719.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,8107.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,412.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,4945.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,1548.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,775.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,224.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1116.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,663.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,7074.0,1979
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,600.0,1979
Total National Health Expenditures,Investment,Research,none,4805.0,1979
Total National Health Expenditures,Investment,Structures & Equipment,none,12685.0,1979
Total National Health Expenditures,Out of pocket,none,none,55258.0,1980
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,67103.0,1980
Total National Health Expenditures,Health Insurance,Medicare,none,37387.0,1980
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,26032.0,1980
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1980
Total National Health Expenditures,Health Insurance,Department of Defense,none,3949.0,1980
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,5740.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,826.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,10676.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,447.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,5606.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,1899.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,864.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,223.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1343.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,825.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,7389.0,1980
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,663.0,1980
Total National Health Expenditures,Investment,Research,none,5429.0,1980
Total National Health Expenditures,Investment,Structures & Equipment,none,15127.0,1980
Total National Health Expenditures,Out of pocket,none,none,61932.0,1981
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,79230.0,1981
Total National Health Expenditures,Health Insurance,Medicare,none,44769.0,1981
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,30307.0,1981
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1981
Total National Health Expenditures,Health Insurance,Department of Defense,none,4588.0,1981
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,6261.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,953.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,13176.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,513.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,6189.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,2226.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,879.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,229.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1334.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,799.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,8454.0,1981
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,708.0,1981
Total National Health Expenditures,Investment,Research,none,5705.0,1981
Total National Health Expenditures,Investment,Structures & Equipment,none,17789.0,1981
Total National Health Expenditures,Out of pocket,none,none,68606.0,1982
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,91124.0,1982
Total National Health Expenditures,Health Insurance,Medicare,none,52351.0,1982
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,32011.0,1982
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1982
Total National Health Expenditures,Health Insurance,Department of Defense,none,5158.0,1982
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,6905.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1041.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,15656.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,502.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,6929.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,2437.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,935.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,233.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1184.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,636.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,9151.0,1982
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,753.0,1982
Total National Health Expenditures,Investment,Research,none,6025.0,1982
Total National Health Expenditures,Investment,Structures & Equipment,none,20675.0,1982
Total National Health Expenditures,Out of pocket,none,none,74660.0,1983
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,101553.0,1983
Total National Health Expenditures,Health Insurance,Medicare,none,59559.0,1983
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,35266.0,1983
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1983
Total National Health Expenditures,Health Insurance,Department of Defense,none,5393.0,1983
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,7396.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1156.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,17479.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,556.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,7285.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,2649.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1081.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,246.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1044.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,599.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,9546.0,1983
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,795.0,1983
Total National Health Expenditures,Investment,Research,none,6543.0,1983
Total National Health Expenditures,Investment,Structures & Equipment,none,22748.0,1983
Total National Health Expenditures,Out of pocket,none,none,82417.0,1984
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,114611.0,1984
Total National Health Expenditures,Health Insurance,Medicare,none,66207.0,1984
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,38233.0,1984
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1984
Total National Health Expenditures,Health Insurance,Department of Defense,none,5842.0,1984
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,8070.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1306.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,19769.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,649.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,7661.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,2875.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1111.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,257.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1065.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,607.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,9600.0,1984
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,847.0,1984
Total National Health Expenditures,Investment,Research,none,7608.0,1984
Total National Health Expenditures,Investment,Structures & Equipment,none,23320.0,1984
Total National Health Expenditures,Out of pocket,none,none,91566.0,1985
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,126600.0,1985
Total National Health Expenditures,Health Insurance,Medicare,none,71829.0,1985
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,40937.0,1985
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1985
Total National Health Expenditures,Health Insurance,Department of Defense,none,6864.0,1985
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,8332.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1393.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,22925.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,720.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,8937.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,3189.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1290.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,262.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1108.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,515.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,10134.0,1985
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,919.0,1985
Total National Health Expenditures,Investment,Research,none,8320.0,1985
Total National Health Expenditures,Investment,Structures & Equipment,none,22824.0,1985
Total National Health Expenditures,Out of pocket,none,none,99655.0,1986
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,131589.0,1986
Total National Health Expenditures,Health Insurance,Medicare,none,76829.0,1986
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,45383.0,1986
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1986
Total National Health Expenditures,Health Insurance,Department of Defense,none,7634.0,1986
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,8775.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1522.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,25230.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,718.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,10083.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,3422.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1391.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,270.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1133.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,533.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,12434.0,1986
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,986.0,1986
Total National Health Expenditures,Investment,Research,none,9002.0,1986
Total National Health Expenditures,Investment,Structures & Equipment,none,23303.0,1986
Total National Health Expenditures,Out of pocket,none,none,105844.0,1987
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,144525.0,1987
Total National Health Expenditures,Health Insurance,Medicare,none,83081.0,1987
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,50339.0,1987
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1987
Total National Health Expenditures,Health Insurance,Department of Defense,none,8202.0,1987
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,9236.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1685.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,27633.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,761.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,11957.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,3552.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1510.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,289.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1197.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,644.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,13736.0,1987
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1040.0,1987
Total National Health Expenditures,Investment,Research,none,10025.0,1987
Total National Health Expenditures,Investment,Structures & Equipment,none,25645.0,1987
Total National Health Expenditures,Out of pocket,none,none,116236.0,1988
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,170069.0,1988
Total National Health Expenditures,Health Insurance,Medicare,none,88965.0,1988
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,55080.0,1988
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1988
Total National Health Expenditures,Health Insurance,Department of Defense,none,8778.0,1988
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,9629.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,1867.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,32573.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,808.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,13816.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,3742.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1580.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,300.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1271.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,884.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,14806.0,1988
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1099.0,1988
Total National Health Expenditures,Investment,Research,none,10836.0,1988
Total National Health Expenditures,Investment,Structures & Equipment,none,29042.0,1988
Total National Health Expenditures,Out of pocket,none,none,122598.0,1989
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,197878.0,1989
Total National Health Expenditures,Health Insurance,Medicare,none,101137.0,1989
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,61952.0,1989
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1989
Total National Health Expenditures,Health Insurance,Department of Defense,none,9272.0,1989
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,10134.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2035.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,35038.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,800.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,15519.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,4138.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1631.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,308.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1331.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,698.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,15024.0,1989
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1185.0,1989
Total National Health Expenditures,Investment,Research,none,11738.0,1989
Total National Health Expenditures,Investment,Structures & Equipment,none,31987.0,1989
Total National Health Expenditures,Out of pocket,none,none,133764.0,1990
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,225919.0,1990
Total National Health Expenditures,Health Insurance,Medicare,none,110182.0,1990
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,73661.0,1990
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1990
Total National Health Expenditures,Health Insurance,Department of Defense,none,10446.0,1990
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,10939.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2228.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,37461.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,994.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,17530.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5032.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1587.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,318.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1556.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1372.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,15895.0,1990
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1293.0,1990
Total National Health Expenditures,Investment,Research,none,12678.0,1990
Total National Health Expenditures,Investment,Structures & Equipment,none,35877.0,1990
Total National Health Expenditures,Out of pocket,none,none,136771.0,1991
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,246847.0,1991
Total National Health Expenditures,Health Insurance,Medicare,none,120617.0,1991
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,93211.0,1991
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1991
Total National Health Expenditures,Health Insurance,Department of Defense,none,11536.0,1991
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,11852.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2343.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,40227.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1204.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,18958.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5187.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1707.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,332.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1844.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1656.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,16133.0,1991
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1363.0,1991
Total National Health Expenditures,Investment,Research,none,13819.0,1991
Total National Health Expenditures,Investment,Structures & Equipment,none,38229.0,1991
Total National Health Expenditures,Out of pocket,none,none,139139.0,1992
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,266037.0,1992
Total National Health Expenditures,Health Insurance,Medicare,none,135996.0,1992
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,108186.0,1992
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1992
Total National Health Expenditures,Health Insurance,Department of Defense,none,11621.0,1992
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,12594.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2484.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,43275.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1431.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,21100.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5531.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1814.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,343.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,2050.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1685.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,16021.0,1992
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1416.0,1992
Total National Health Expenditures,Investment,Research,none,15091.0,1992
Total National Health Expenditures,Investment,Structures & Equipment,none,42012.0,1992
Total National Health Expenditures,Out of pocket,none,none,140251.0,1993
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,285438.0,1993
Total National Health Expenditures,Health Insurance,Medicare,none,149965.0,1993
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,122373.0,1993
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1993
Total National Health Expenditures,Health Insurance,Department of Defense,none,12025.0,1993
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,13621.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2610.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,46759.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1481.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,22607.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5037.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1856.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,338.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,2265.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1714.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,17316.0,1993
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1553.0,1993
Total National Health Expenditures,Investment,Research,none,16472.0,1993
Total National Health Expenditures,Investment,Structures & Equipment,none,44411.0,1993
Total National Health Expenditures,Out of pocket,none,none,138262.0,1994
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,298813.0,1994
Total National Health Expenditures,Health Insurance,Medicare,none,167670.0,1994
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,134414.0,1994
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1994
Total National Health Expenditures,Health Insurance,Department of Defense,none,11833.0,1994
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,14612.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2731.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,48932.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1496.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,22189.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5451.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1904.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,360.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,2472.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1889.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,18440.0,1994
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1701.0,1994
Total National Health Expenditures,Investment,Research,none,17758.0,1994
Total National Health Expenditures,Investment,Structures & Equipment,none,45848.0,1994
Total National Health Expenditures,Out of pocket,none,none,140809.0,1995
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,315022.0,1995
